split,method,seed,rows,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
combined_hard_shift,compute_adaptive_policy,2,168,0.41667,0.30832,0.48651,3.34387,0.36905,0.28571,0.35789,0.08316
combined_hard_shift,compute_adaptive_policy,3,168,0.44048,0.30014,0.47173,3.32019,0.35714,0.27976,0.37462,0.08142
combined_hard_shift,compute_adaptive_policy,4,168,0.42857,0.32203,0.48710,3.33978,0.35714,0.26786,0.35696,0.08465
combined_hard_shift,compute_adaptive_policy,5,168,0.39881,0.31961,0.46230,3.37205,0.39881,0.24405,0.35800,0.08156
combined_hard_shift,compute_adaptive_policy,6,168,0.42857,0.32706,0.48095,3.31446,0.32143,0.32143,0.35725,0.08255
combined_hard_shift,embodied_consequence_budgeting,0,168,0.68452,0.55618,0.04812,3.32137,0.29762,0.19048,0.10640,0.14245
combined_hard_shift,embodied_consequence_budgeting,1,168,0.69643,0.55239,0.05268,3.30865,0.30952,0.14286,0.10865,0.14370
combined_hard_shift,embodied_consequence_budgeting,2,168,0.66667,0.56113,0.07381,3.33053,0.34524,0.17262,0.10517,0.14181
combined_hard_shift,embodied_consequence_budgeting,3,168,0.76190,0.54622,0.05407,3.32562,0.30357,0.16667,0.11079,0.14403
combined_hard_shift,embodied_consequence_budgeting,4,168,0.71429,0.56568,0.06151,3.30128,0.26190,0.18452,0.10266,0.14440
combined_hard_shift,embodied_consequence_budgeting,5,168,0.63690,0.56334,0.07361,3.33702,0.40476,0.12500,0.10704,0.14054
combined_hard_shift,embodied_consequence_budgeting,6,168,0.69048,0.58660,0.07202,3.34824,0.35119,0.16071,0.09757,0.13872
combined_hard_shift,oracle_consequence_attention,0,168,0.67262,0.55912,0.04514,3.32763,0.30357,0.11905,0.10041,0.14331
combined_hard_shift,oracle_consequence_attention,1,168,0.76190,0.55679,0.04206,3.30916,0.31548,0.16071,0.10097,0.14437
combined_hard_shift,oracle_consequence_attention,2,168,0.73810,0.57213,0.05605,3.31947,0.32143,0.16071,0.09647,0.14381
combined_hard_shift,oracle_consequence_attention,3,168,0.73810,0.55331,0.03968,3.31854,0.29167,0.19643,0.10089,0.14568
combined_hard_shift,oracle_consequence_attention,4,168,0.67262,0.57323,0.05506,3.31648,0.29762,0.11905,0.09574,0.14364
combined_hard_shift,oracle_consequence_attention,5,168,0.69048,0.56538,0.06716,3.34016,0.39881,0.13095,0.09827,0.14103
combined_hard_shift,oracle_consequence_attention,6,168,0.72024,0.58814,0.06756,3.35146,0.38095,0.13095,0.09293,0.13926
combined_hard_shift,risk_aware_attention,0,168,0.66667,0.51974,0.08829,3.34680,0.31548,0.12500,0.13896,0.13761
